1	0 
2	0 
3	0 
4	0 
5	0 
6	0 
7	0 
8	0 
9	0 
10	0 
11	0 
12	0 
13	0 
14	0 
15	0 
16	0 
17	0 
18	0 
19	0 
20	0 
21	0 
22	0 
23	0 
24	0 
25	0 
26	0 
27	0 
28	0 
29	0 
30	0 
31	0 
32	0 
33	0 
34	0 
35	0 
36	0 
37	0 
38	0 
39	0 
40	0 
41	0 
42	0 
43	0 
44	-3 
45	-3 
46	-6 
47	-26 
48	-37 
49	-40 
50	-60 
51	-52 
52	-44 
53	-47 
54	-38 
55	-30 
56	-41 
57	-33 
58	-24 
59	-36 
60	-28 
61	-31 
62	-23 
63	-15 
64	-6 
65	2 
66	2 
67	2 
68	11 
69	19 
70	7 
71	27 
72	47 
73	67 
74	47 
75	55 
76	75 
77	95 
78	104 
79	104 
80	84 
81	64 
82	44 
83	24 
84	33 
85	33 
86	53 
87	50 
88	58 
89	66 
90	54 
91	62 
92	60 
93	57 
94	77 
95	66 
96	64 
97	62 
98	60 
99	58 
100	56 
101	54 
102	52 
103	50 
104	48 
105	46 
106	44 
107	42 
108	40 
109	38 
110	36 
111	34 
112	32 
113	30 
114	28 
115	26 
116	24 
117	22 
118	20 
119	18 
120	16 
121	14 
122	12 
123	10 
124	8 
125	6 
126	4 
127	2 
128	0 
129	-2 
130	-4 
131	-6 
132	-6 
133	14 
134	3 
135	11 
136	19 
137	39 
138	59 
139	67 
140	76 
141	85 
142	74 
143	71 
144	68 
145	77 
146	65 
147	73 
148	69 
149	77 
150	74 
151	82 
152	71 
153	91 
154	100 
155	97 
156	105 
157	114 
158	114 
159	111 
160	111 
161	109 
162	97 
163	97 
164	97 
165	117 
166	137 
167	157 
168	177 
169	197 
170	206 
171	186 
172	206 
173	202 
174	202 
175	202 
176	222 
177	242 
178	230 
179	219 
180	239 
181	228 
182	225 
183	234 
184	223 
185	231 
186	240 
187	249 
188	269 
189	277 
190	297 
191	317 
192	315 
193	295 
194	275 
195	255 
196	235 
197	215 
198	195 
199	175 
200	155 
201	135 
202	115 
203	95 
204	75 
205	55 
206	35 
207	15 
208	-5 
209	-25 
210	-45 
211	-65 
212	-85 
213	-105 
214	-125 
215	-145 
216	-165 
217	-185 
218	-205 
