front_col,left_col,right_col,rear_col,num_cols,avg_speed,avg_time_taken,time_limit_reached,goal_reached
0,0,0,0,0,2.2595967017114162,19.584,0,1
0,0,0,0,0,1.645314343143016,27.584,0,2
0,0,0,0,0,1.8191871288975079,12.576,0,3
0,0,0,0,0,1.857775804489886,21.6,0,4
0,0,0,0,0,1.7735619648892662,19.008,0,5
0,1,0,0,1,1.8316110137859314,2.4,0,5
1,1,0,0,2,1.9074817256356338,17.408,0,5
2,1,0,0,3,1.9294193341590604,11.648,0,5
2,1,0,0,3,1.891984463298472,17.024,0,6
2,2,0,0,4,1.7452290254413583,53.408,0,6
2,2,0,0,4,1.6420928542094386,44.38400000000001,0,7
3,2,0,0,5,1.2069643698870105,104.92800000000001,0,7
4,2,0,0,6,1.144446301851192,97.56800000000001,0,7
4,2,0,0,6,1.1790885340961417,14.08,0,8
5,2,0,0,7,1.169480574551514,45.344,0,8
5,2,1,0,8,1.1724866523862938,58.368,0,8
5,3,1,0,9,1.1635575788419528,45.088,0,8
5,3,1,0,9,1.1886684934014224,12.032,0,9
5,3,1,0,9,1.2076830948234727,17.248,0,10
5,3,2,0,10,1.2052506223317878,54.912000000000006,0,10
5,3,2,0,10,1.1903030830272945,57.856,0,11
5,3,2,0,10,1.209868127030773,4.864,0,12
6,3,2,0,11,1.2247267390125736,8.96,0,12
6,3,2,0,11,1.2264677838722258,42.944,0,13
7,3,2,0,12,1.2546476676468536,26.688,0,13
7,3,2,0,12,1.2452434167546569,40.44800000000001,0,14
7,3,2,0,12,1.2618208867994982,17.696,0,15
7,3,2,0,12,1.256036862527703,34.400000000000006,0,16
7,4,2,0,13,1.2577872898658269,37.184000000000005,0,16
7,5,2,0,14,1.2657233794854992,42.816,0,16
7,5,2,0,14,1.2823420810864774,21.792,0,17
7,5,2,0,14,1.284492976798744,61.984,0,18
7,5,2,0,14,1.2983126677362569,18.656,0,19
7,5,2,0,14,1.3010273787914208,43.392,0,20
8,5,2,0,15,1.3248256541043864,24.96,0,20
8,5,2,0,15,1.3355646263557168,12.8,0,21
8,5,2,0,15,1.3472154924772115,16.832,0,22
8,5,3,0,16,1.3272768861518176,74.49600000000001,0,22
8,6,3,0,17,1.3317011625395136,10.496,0,22
8,7,3,0,18,1.305102868054107,42.080000000000005,0,22
9,7,3,0,19,1.3190107037486012,10.944,0,22
9,7,3,0,19,1.3312507244614726,11.84,0,23
9,7,3,0,19,1.3411235306129579,12.608,0,24
9,7,3,0,19,1.3542812611792847,35.29600000000001,0,25
9,7,3,0,19,1.3446299269167428,32.12800000000001,0,26
9,7,3,0,19,1.3391684720783268,31.264,0,27
9,7,3,0,19,1.3489489315257908,12.0,0,28
9,8,3,0,20,1.3300042934960397,62.208000000000006,0,28
10,8,3,0,21,1.325959001665056,31.616,0,28
11,8,3,0,22,1.3020848883958822,76.864,0,28
11,9,3,0,23,1.3058660660826835,40.480000000000004,0,28
11,9,3,0,23,1.317653778727927,12.384,0,29
12,9,3,0,24,1.3043797293670776,44.89600000000001,0,29
12,9,3,0,24,1.2972202920050613,71.00800000000001,0,30
12,9,3,0,24,1.308182172949415,19.104,0,31
13,9,3,0,25,1.2511778833229443,123.90400000000001,0,31
13,9,3,0,25,1.258691159235239,12.416,0,32
14,9,3,0,26,1.2178288138046955,105.792,0,32
14,9,4,0,27,1.2218477766587417,17.376,0,32
15,9,4,0,28,1.2232030706192465,69.18400000000001,0,32
15,10,4,0,29,1.224760023639427,31.328,0,32
15,10,4,0,29,1.2156950925752803,150.016,1,32
15,10,4,0,29,1.2182788621738123,26.144000000000002,1,33
16,10,4,0,30,1.2104967270560247,54.304,1,33
17,10,4,0,31,1.183017273594339,94.176,1,33
17,11,4,0,32,1.1846095736573623,2.688,1,33
17,11,4,0,32,1.1905740712568142,12.768,1,34
18,11,4,0,33,1.1809193076735507,88.70400000000001,1,34
19,11,4,0,34,1.193818357982662,68.83200000000001,1,34
20,11,4,0,35,1.1947366205048993,14.208,1,34
21,11,4,0,36,1.1573449433201874,111.072,1,34
22,11,4,0,37,1.1384074568204334,111.2,1,34
22,11,4,0,37,1.1444351743386862,12.256,1,35
22,11,4,0,37,1.1361913970675925,53.92,1,36
22,11,4,0,37,1.1379918199936383,41.152,1,37
22,12,4,0,38,1.1432442378219656,28.032,1,37
22,12,4,0,38,1.1501369849330738,12.128,1,38
22,12,4,0,38,1.1566160258223628,11.968,1,39
22,12,4,0,38,1.1619040255291355,12.448,1,40
22,12,4,0,38,1.1568136648835594,38.848000000000006,1,41
22,12,4,0,38,1.1631262982639379,12.416,1,42
22,13,4,0,39,1.160698917306129,75.04,1,42
22,13,5,0,40,1.1639269907856993,48.00000000000001,1,42
22,13,5,0,40,1.167164292400212,16.16,1,43
22,13,6,0,41,1.1743244434023719,44.51200000000001,1,43
22,13,6,0,41,1.1757185886371977,34.24,1,44
23,13,6,0,42,1.184250752378196,18.56,1,44
24,13,6,0,43,1.1854983750571049,40.864000000000004,1,44
24,13,6,0,43,1.1862625526190844,25.984,1,45
25,13,6,0,44,1.1878159413946816,36.416000000000004,1,45
25,13,7,0,45,1.18909214371097,10.016,1,45
25,13,7,0,45,1.1861841388576735,31.648,1,46
26,13,7,0,46,1.1889251371730016,52.83200000000001,1,46
26,13,7,0,46,1.192316542709374,31.84,1,47
26,13,7,0,46,1.196129320492168,24.128,1,48
26,14,7,0,47,1.207766426831594,63.392,1,48
26,14,7,0,47,1.2116419320817602,12.032,1,49
26,15,7,0,48,1.2083700761061504,44.864000000000004,1,49
27,15,7,0,49,1.211145458251774,9.92,1,49
27,16,7,0,50,1.2128321093536782,2.432,1,49
27,16,7,0,50,1.2173456349351492,12.928,1,50
27,16,7,0,50,1.223605192732191,21.152,1,51
27,16,7,0,50,1.2186795650160636,40.096000000000004,1,52
27,16,7,0,50,1.2026663732856215,150.016,2,52
27,16,7,0,50,1.2017170786689866,36.736000000000004,2,53
27,16,7,0,50,1.1955248542505843,58.592000000000006,2,54
27,16,7,0,50,1.200191853297237,20.16,2,55
27,16,7,0,50,1.2000783982931087,33.504000000000005,2,56
27,16,7,0,50,1.2040752936489918,12.48,2,57
27,16,7,0,50,1.2164437170124776,114.528,2,58
27,17,7,0,51,1.2092215294717155,121.024,2,58
27,17,7,0,51,1.1897031217496101,131.2,2,59
27,17,7,0,51,1.1927250202653978,12.384,2,60
27,17,7,0,51,1.2011168229661682,48.38400000000001,2,61
28,17,7,0,52,1.1876153508152265,135.84,2,61
28,18,7,0,53,1.1873353100803634,52.032000000000004,2,61
28,18,7,0,53,1.1914593392894872,19.776,2,62
29,18,7,0,54,1.197354789238678,16.928,2,62
29,19,7,0,55,1.201893892184929,53.92,2,62
29,19,7,0,55,1.2087699286180649,25.952,2,63
29,20,7,0,56,1.2115293274755954,24.704,2,63
29,21,7,0,57,1.2125591274466228,10.752,2,63
29,21,7,0,57,1.2156952228412432,15.104000000000001,2,64
29,21,7,0,57,1.2157388554534125,60.032000000000004,2,65
29,21,8,0,58,1.2093869743821781,81.21600000000001,2,65
29,21,8,0,58,1.2128460517437583,12.384,2,66
30,21,8,0,59,1.2184529023597397,24.0,2,66
30,21,8,0,59,1.2216099158810505,19.488,2,67
30,21,8,0,59,1.2273833887005476,35.328,2,68
30,21,8,0,59,1.2273965928381312,42.24,2,69
30,21,8,0,59,1.2248142398908146,67.39200000000001,2,70
30,22,8,0,60,1.2276045961550934,18.080000000000002,2,70
31,22,8,0,61,1.2291807020188292,17.952,2,70
31,22,8,0,61,1.2320779690849104,11.456,2,71
31,22,8,0,61,1.2362257853452219,32.12800000000001,2,72
32,22,8,0,62,1.2390311761326438,10.72,2,72
33,22,8,0,63,1.2417690894316955,18.112000000000002,2,72
33,22,8,0,63,1.2085506222290554,150.016,3,72
34,22,8,0,64,1.2123440004485588,30.336000000000002,3,72
34,22,8,0,64,1.2157287886341295,12.224,3,73
34,22,8,0,64,1.2203074942642553,31.072,3,74
35,22,8,0,65,1.2233766439772094,16.544,3,74
35,22,8,0,65,1.2256227717961596,113.82400000000001,3,75
36,22,8,0,66,1.2284611296694845,9.824,3,75
37,22,8,0,67,1.231423524840113,15.488,3,75
38,22,8,0,68,1.2352514872847788,17.248,3,75
38,22,8,0,68,1.2300920566216154,50.752,3,76
38,22,8,0,68,1.2336145327123278,26.240000000000002,3,77
38,22,8,0,68,1.237720070132575,19.84,3,78
38,23,8,0,69,1.2383001192423153,39.55200000000001,3,78
38,23,8,0,69,1.233809215372606,98.784,3,79
39,23,8,0,70,1.23541041585505,9.952,3,79
39,23,8,0,70,1.2384289887849647,15.648,3,80
40,23,8,0,71,1.2230748969346565,107.424,3,80
40,23,8,0,71,1.2276829566372958,38.464000000000006,3,81
40,24,8,0,72,1.231192292943569,39.93600000000001,3,81
40,25,8,0,73,1.2239530266907703,96.0,3,81
40,26,8,0,74,1.2248082402525633,2.304,3,81
40,26,8,1,75,1.2255140800603852,47.072,3,81
40,26,8,1,75,1.2281950360171603,11.936,3,82
41,26,8,1,76,1.22859971671194,10.72,3,82
42,26,8,1,77,1.216957642647127,98.336,3,82
42,26,8,1,77,1.2198660108579236,45.28,3,83
42,26,8,1,77,1.2015373966882754,145.72799999999998,3,84
42,26,8,1,77,1.2043647231156969,30.208000000000002,3,85
42,26,8,1,77,1.2000544582396373,54.176,3,86
42,27,8,1,78,1.2026732536112703,18.080000000000002,3,86
42,27,8,1,78,1.2046474380307641,12.096,3,87
43,27,8,1,79,1.1968602622134275,136.416,3,87
43,27,8,1,79,1.1988343347036599,12.48,3,88
43,28,8,1,80,1.2006443277953012,18.144000000000002,3,88
43,28,8,1,80,1.2031671398058539,11.936,3,89
43,28,8,1,80,1.2019922083182397,63.74400000000001,3,90
43,28,9,1,81,1.2035452858362254,9.664,3,90
43,29,9,1,82,1.2016698350180908,50.400000000000006,3,90
43,29,10,1,83,1.203282425119257,18.848,3,90
44,29,10,1,84,1.1913108714934149,92.03200000000001,3,90
44,29,10,1,84,1.1935897289730548,12.32,3,91
44,29,10,1,84,1.1954978826742748,21.664,3,92
44,30,10,1,85,1.2014829269244465,39.42400000000001,3,92
44,30,10,1,85,1.2043781500629993,12.128,3,93
44,30,10,1,85,1.202832037797265,43.072,3,94
45,30,10,1,86,1.1971576379069033,58.688,3,94
46,30,10,1,87,1.18828371149271,89.28,3,94
46,30,10,1,87,1.1878308293112916,36.160000000000004,3,95
46,30,10,1,87,1.1904206258003935,12.416,3,96
46,30,10,1,87,1.1908407337724862,26.624,3,97
47,30,10,1,88,1.1917882077497512,56.800000000000004,3,97
47,30,10,1,88,1.1938392644457585,12.704,3,98
47,30,11,1,89,1.1938853143540937,88.992,3,98
47,30,12,1,90,1.1915821853708035,34.624,3,98
47,30,12,1,90,1.1936555592630007,16.8,3,99
47,30,12,1,90,1.1954546273475648,14.4,3,100
47,30,12,1,90,1.1967105097355293,51.232000000000006,3,101
47,31,12,1,91,1.2020137835902243,98.592,3,101
48,31,12,1,92,1.2020775358673914,22.080000000000002,3,101
48,31,12,2,93,1.2024591862183307,36.864000000000004,3,101
48,31,12,2,93,1.2044427723196496,12.032,3,102
48,31,12,2,93,1.204395486439523,50.112,3,103
48,32,12,2,94,1.2053046312311697,2.2720000000000002,3,103
49,32,12,2,95,1.2052125582959266,21.664,3,103
49,32,12,2,95,1.2052451464798188,36.160000000000004,3,104
49,32,12,2,95,1.205852331656862,23.36,3,105
49,32,12,2,95,1.2081094654046969,54.56,3,106
49,32,13,2,96,1.2092089410432971,13.408,3,106
49,32,13,2,96,1.2106100607777635,13.152000000000001,3,107
49,32,13,2,96,1.2128007646597474,59.42400000000001,3,108
49,32,13,2,96,1.2149331130001602,15.136000000000001,3,109
49,32,13,2,96,1.2170700612878989,11.328,3,110
49,32,13,2,96,1.2187717070779114,17.696,3,111
50,32,13,2,97,1.2178210906772788,75.872,3,111
50,32,13,2,97,1.2191466065703405,13.824,3,112
50,32,13,2,97,1.2204859483648476,20.896,3,113
50,32,13,2,97,1.2221244613262634,34.848000000000006,3,114
50,33,13,2,98,1.2226558976462791,2.4,3,114
51,33,13,2,99,1.225659393181017,18.240000000000002,3,114
52,33,13,2,100,1.2261838735733381,10.432,3,114
52,33,13,2,100,1.2279518948336918,15.232000000000001,3,115
52,34,13,2,101,1.2288366722659123,36.76800000000001,3,115
52,34,13,2,101,1.2309902626083606,11.456,3,116
53,34,13,2,102,1.2328067271242995,14.176,3,116
53,35,13,2,103,1.234328722036741,17.632,3,116
53,35,13,2,103,1.2332003243825855,40.57600000000001,3,117
53,35,13,2,103,1.2311206938647665,61.824000000000005,3,118
53,35,13,2,103,1.2332634398165931,11.68,3,119
53,35,13,2,103,1.2346120454262168,22.176000000000002,3,120
53,35,13,2,103,1.2366669073364747,12.0,3,121
53,35,13,2,103,1.2376527807792281,36.992000000000004,3,122
53,36,13,2,104,1.2403477138675432,25.376,3,122
53,36,13,2,104,1.234629499320395,150.016,4,122
53,36,13,2,104,1.2362401408821295,12.8,4,123
53,36,13,2,104,1.237535434116007,22.080000000000002,4,124
54,36,13,2,105,1.2243636648266816,123.968,4,124
54,36,14,2,106,1.2219873875531488,39.52,4,124
54,36,14,2,106,1.2241407923214513,11.552,4,125
55,36,14,2,107,1.2255415014934445,22.240000000000002,4,125
55,36,14,2,107,1.227087947051017,18.336000000000002,4,126
56,36,14,2,108,1.227933185885454,9.28,4,126
56,36,14,2,108,1.2261127341611202,58.976000000000006,4,127
56,36,14,2,108,1.227897357159837,12.032,4,128
56,37,14,2,109,1.228986182422865,45.248000000000005,4,128
56,37,14,2,109,1.23081342802782,17.216,4,129
56,37,14,3,110,1.2304886288118588,48.76800000000001,4,129
56,37,14,3,110,1.2302204937374592,28.96,4,130
56,37,14,3,110,1.2315704874553834,12.608,4,131
56,37,14,3,110,1.2226036968406158,130.304,4,132
56,37,14,3,110,1.222902412691883,30.304000000000002,4,133
56,37,14,3,110,1.2203954524609595,82.24000000000001,4,134
56,37,14,3,110,1.2221437853608408,86.208,4,135
56,37,14,3,110,1.2223606194964924,24.288,4,136
