front_col,left_col,right_col,rear_col,num_cols,avg_speed,avg_time_taken,time_limit_reached,goal_reached
0,0,0,0,0,-0.20230089235958698,54.016000000000005,0,1
0,0,0,0,0,-0.7129399487513906,150.016,1,1
0,0,0,0,0,-0.6609100813082585,58.720000000000006,1,2
0,0,0,0,0,-0.7566445143834188,150.016,2,2
0,0,0,0,0,-0.7933484646263068,107.77600000000001,2,3
0,0,0,0,0,-0.8078656616642378,139.77599999999998,2,4
0,0,0,0,0,-0.8030019964925869,100.80000000000001,2,5
0,0,0,0,0,-0.7742811523037381,57.984,2,6
0,0,0,0,0,-0.8027036693192534,150.016,3,6
0,0,0,0,0,-0.7739197031115544,150.016,4,6
0,0,0,0,0,-0.7548060613650684,62.464000000000006,4,7
0,0,0,0,0,-0.7446735751712455,150.016,5,7
0,0,0,0,0,-0.7556258751240645,150.016,6,7
0,0,0,0,0,-0.7716747167576959,150.016,7,7
0,0,0,0,0,-0.7647927173997343,150.016,8,7
0,0,0,0,0,-0.7596402533887059,78.36800000000001,8,8
0,0,0,0,0,-0.7866327136168034,150.016,9,8
0,0,0,0,0,-0.7861972385882986,91.424,9,9
0,0,0,0,0,-0.794080899397989,95.808,9,10
0,0,0,0,0,-0.8007483005403406,150.016,10,10
0,0,0,0,0,-0.7860917920432944,126.84800000000001,10,11
0,0,0,0,0,-0.7669467314216384,38.272000000000006,10,12
0,0,0,0,0,-0.7747472786685047,150.016,11,12
0,0,0,0,0,-0.7797371271403092,91.072,11,13
0,0,0,0,0,-0.7683491684476281,67.072,11,14
0,0,0,0,0,-0.7737258742107077,150.016,12,14
0,0,0,0,0,-0.7761935766878377,150.016,13,14
0,0,0,0,0,-0.7768166588425828,123.13600000000001,13,15
0,0,0,0,0,-0.7674971937656003,39.584,13,16
0,0,0,0,0,-0.7798817332950654,150.016,14,16
0,0,0,0,0,-0.7760932999105291,86.848,14,17
0,0,0,0,0,-0.7877785331276724,150.016,15,17
0,0,0,0,0,-0.79580910151594,105.888,15,18
0,1,0,0,1,-0.7871599947707071,96.16000000000001,15,18
0,1,0,0,1,-0.7840328324044932,150.016,16,18
0,1,0,0,1,-0.7948430345839642,150.016,17,18
0,1,0,0,1,-0.7874692572608974,17.088,17,19
0,1,0,0,1,-0.7828699072689076,72.57600000000001,17,20
0,1,0,0,1,-0.7865237758527394,146.88,17,21
0,1,0,0,1,-0.7881479259554144,82.4,17,22
0,1,0,0,1,-0.7814638210830648,150.016,18,22
0,1,0,0,1,-0.7762027497533489,11.712,18,23
0,1,0,0,1,-0.7751664608876367,150.016,19,23
0,1,0,0,1,-0.7696568282930727,54.688,19,24
0,1,0,0,1,-0.7670325298853354,81.21600000000001,19,25
0,1,0,0,1,-0.7677303083238245,150.016,20,25
0,1,0,0,1,-0.7723334838389619,150.016,21,25
0,1,0,0,1,-0.768173814631571,107.104,21,26
0,1,0,0,1,-0.7682851543086995,150.016,22,26
0,1,0,0,1,-0.7669379714397725,115.936,22,27
0,1,0,0,1,-0.7727360380593714,150.016,23,27
0,1,0,0,1,-0.7754976153126053,138.048,23,28
0,1,0,0,1,-0.781334259510695,150.016,24,28
0,1,0,0,1,-0.7798526866556048,103.616,24,29
0,1,0,0,1,-0.7771435654755983,98.336,24,30
0,1,0,0,1,-0.7750342766153285,76.44800000000001,24,31
0,1,0,0,1,-0.7771127884753113,150.016,25,31
0,1,0,0,1,-0.7771940844920584,88.896,25,32
