front_col,left_col,right_col,rear_col,num_cols,avg_speed,avg_time_taken,time_limit_reached,goal_reached
31,12,7,14,1,1.6113596512189765,4.864,0,0
31,12,7,15,2,-0.21878913154766508,62.816,0,0
31,12,7,16,3,-0.5250083107714186,88.06400000000001,0,0
31,13,7,16,4,-0.34783758641385976,70.048,0,0
31,13,8,16,5,-0.3976967668738047,27.552,0,0
31,13,8,16,5,-0.33710521146544464,83.072,0,1
31,13,9,16,6,-0.27354488606077676,13.952,0,1
31,14,9,16,7,-0.37370996603163736,60.57600000000001,0,1
31,14,9,16,7,-0.370492302446407,24.544,0,2
31,14,9,16,7,-0.3864665469616872,23.968,0,3
31,14,9,16,7,-0.6084296137251064,150.016,1,3
32,14,9,16,8,-0.5777576485142095,6.656,1,3
32,14,9,17,9,-0.5882960036991169,82.464,1,3
32,14,10,17,10,-0.5334016460486459,46.912000000000006,1,3
32,14,10,17,10,-0.5151986253011337,68.28800000000001,1,4
32,14,11,17,11,-0.483710838072727,58.080000000000005,1,4
32,14,12,17,12,-0.46693097770035885,19.744,1,4
32,14,12,17,12,-0.4385063865155486,20.704,1,5
32,14,12,17,12,-0.420506814510764,54.752,1,6
32,15,12,17,13,-0.4098656237043692,5.28,1,6
33,15,12,17,14,-0.3820320791073231,13.344,1,6
34,15,12,17,15,-0.359141315058166,13.472,1,6
34,16,12,17,16,-0.3316366071552359,85.76,1,6
34,17,12,17,17,-0.32383788544049813,18.112000000000002,1,6
35,17,12,17,18,-0.34321084873281,51.136,1,6
35,17,13,17,19,-0.38715705223344815,145.856,1,6
35,17,13,17,19,-0.41596515526303224,44.83200000000001,1,7
35,17,13,17,19,-0.40756003576373545,35.104000000000006,1,8
36,17,13,17,20,-0.39424725009555617,6.816,1,8
36,17,13,18,21,-0.39465599004738783,53.312000000000005,1,8
36,17,13,18,21,-0.3884117502608576,24.768,1,9
36,17,13,18,21,-0.4136687485654248,52.38400000000001,1,10
36,17,13,18,21,-0.4400196726895832,76.06400000000001,1,11
37,17,13,18,22,-0.4213660702727426,15.52,1,11
38,17,13,18,23,-0.41157960228499507,25.856,1,11
38,18,13,18,24,-0.405014109399885,4.5440000000000005,1,11
38,18,13,19,25,-0.4363366889887333,84.256,1,11
38,18,13,19,25,-0.4612105468935078,96.32000000000001,1,12
38,19,13,19,26,-0.4591657466451114,67.488,1,12
39,19,13,19,27,-0.4381629335251525,85.024,1,12
39,19,14,19,28,-0.42715943591581484,12.448,1,12
39,19,14,19,28,-0.456311815203832,66.336,1,13
