front_col,left_col,right_col,rear_col,num_cols,avg_speed,avg_time_taken,time_limit_reached,goal_reached
1,0,0,0,1,1.0335028239531283,76.54400000000001,0,0
1,0,0,0,1,1.1026876631350493,53.056000000000004,0,1
2,0,0,0,2,1.0074013055391136,80.92800000000001,0,1
2,0,0,0,2,0.8514734459261417,131.808,0,2
3,0,0,0,3,0.8738259212549284,1.792,0,2
3,1,0,0,4,0.8778256863108772,5.5680000000000005,0,2
3,2,0,0,5,0.8611326762312209,13.408,0,2
3,3,0,0,6,0.8690634544112354,2.528,0,2
4,3,0,0,7,0.8580236808710539,121.44000000000001,0,2
4,3,1,0,8,0.9336673471807745,47.74400000000001,0,2
5,3,1,0,9,0.9332715076083938,60.864000000000004,0,2
5,4,1,0,10,0.9227979852825763,79.77600000000001,0,2
5,5,1,0,11,0.8972791919888693,74.464,0,2
6,5,1,0,12,0.935652230202542,54.56,0,2
7,5,1,0,13,0.9185894938272068,82.912,0,2
7,5,1,0,13,0.8774855573060573,134.784,0,3
8,5,1,0,14,0.8806147512112612,5.056,0,3
9,5,1,0,15,0.8766009253556089,96.70400000000001,0,3
9,5,1,0,15,0.883938715500108,92.57600000000001,0,4
9,5,1,0,15,0.8820434548733344,90.304,0,5
9,5,1,0,15,0.8849814207585287,84.0,0,6
10,5,1,0,16,0.8820535597029128,127.872,0,6
10,6,1,0,17,0.8869248973356044,1.952,0,6
10,7,1,0,18,0.8813846546617747,58.208000000000006,0,6
11,7,1,0,19,0.8382952730757653,100.128,0,6
11,8,1,0,20,0.8384788250078965,7.296,0,6
12,8,1,0,21,0.8390597809324852,67.168,0,6
12,9,1,0,22,0.8408408661681194,2.56,0,6
13,9,1,0,23,0.8431806162496988,4.96,0,6
14,9,1,0,24,0.8450793201741853,4.864,0,6
14,9,1,0,24,0.8343070717501415,85.92,0,7
15,9,1,0,25,0.857735009028418,49.696000000000005,0,7
15,9,1,0,25,0.8449985806133534,100.32000000000001,0,8
15,9,1,1,26,0.8476644637090464,52.160000000000004,0,8
15,9,2,1,27,0.8458626702359844,15.744,0,8
15,10,2,1,28,0.8445382883080393,77.248,0,8
16,10,2,1,29,0.8383217730714102,66.56,0,8
16,10,2,1,29,0.8057606488023433,150.016,1,8
16,10,2,1,29,0.8115959003513141,94.592,1,9
16,10,2,1,29,0.7667996855305541,150.016,2,9
16,11,2,1,30,0.7640437800740052,109.95200000000001,2,9
17,11,2,1,31,0.7557566767906627,80.92800000000001,2,9
17,12,2,1,32,0.7613843594846206,68.352,2,9
